                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.2498,                  1.153,                 1.1836,                0.64766,                0.35034,                0.44118,                0.17778,                 2.2417,                  1.134,                 1.1981,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.2727,                 1.1615,                 1.1833,                0.65301,                0.35722,                0.44532,                0.17922,                 2.2277,                 1.1042,                 1.1942,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.2553,                 1.1514,                 1.1828,                0.64364,                0.35574,                0.44233,                0.17974,                 2.2205,                 1.1167,                   1.19,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.2393,                 1.1363,                 1.1745,                0.64794,                0.36173,                0.44788,                0.18374,                 2.2023,                 1.0992,                 1.1829,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.2436,                 1.1351,                 1.1724,                0.65691,                0.36219,                0.45236,                0.18524,                 2.2124,                 1.0932,                 1.1847,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.2396,                 1.1293,                 1.1703,                0.65574,                0.36692,                0.45445,                 0.1879,                 2.1915,                 1.0847,                 1.1838,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.2374,                 1.1265,                 1.1705,                0.67099,                 0.3675,                0.45887,                 0.1897,                 2.1767,                 1.0743,                 1.1802,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.2256,                 1.1254,                 1.1727,                0.65639,                0.36141,                 0.4507,                0.18441,                 2.2055,                 1.0919,                 1.1836,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.2213,                 1.1235,                 1.1693,                0.66632,                0.35979,                0.45335,                0.18905,                 2.1825,                 1.0758,                 1.1831,               0.001604,               0.001604,               0.001604
                     42,                 2.2115,                 1.1148,                 1.1702,                0.66206,                0.36617,                0.45595,                 0.1879,                 2.1817,                 1.0806,                 1.1811,              0.0015941,              0.0015941,              0.0015941
                     43,                  2.217,                  1.114,                  1.168,                 0.6727,                0.36902,                0.45837,                0.19179,                 2.1738,                 1.0606,                 1.1762,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.2168,                 1.1101,                 1.1635,                0.66475,                0.36962,                0.45974,                0.19063,                 2.1762,                 1.0593,                 1.1755,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.1874,                 1.1017,                 1.1699,                0.65886,                0.37648,                0.46362,                0.19164,                  2.176,                 1.0635,                   1.18,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.2145,                 1.1085,                 1.1632,                0.66709,                 0.3741,                0.46333,                 0.1946,                 2.1614,                 1.0564,                 1.1798,              0.0015545,              0.0015545,              0.0015545
                     47,                 2.1848,                 1.0882,                 1.1564,                0.67021,                0.37529,                0.46747,                0.19723,                 2.1457,                 1.0443,                 1.1682,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.1898,                 1.0915,                 1.1621,                0.67974,                0.37157,                0.46656,                0.19579,                 2.1547,                 1.0441,                 1.1742,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.1905,                 1.0853,                 1.1523,                0.67531,                0.37876,                0.47104,                0.19678,                 2.1559,                 1.0454,                 1.1669,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.2007,                 1.0929,                 1.1591,                0.67479,                0.37584,                 0.4694,                0.19767,                 2.1517,                  1.038,                 1.1691,              0.0015149,              0.0015149,              0.0015149
                     51,                 2.1703,                 1.0743,                 1.1519,                0.67692,                0.37782,                0.46986,                0.19811,                 2.1459,                 1.0323,                 1.1697,               0.001505,               0.001505,               0.001505
                     52,                 2.1812,                 1.0822,                 1.1579,                0.67989,                0.38134,                0.47317,                0.20074,                 2.1335,                 1.0285,                 1.1653,              0.0014951,              0.0014951,              0.0014951
                     53,                 2.1776,                 1.0797,                 1.1511,                0.67681,                 0.3806,                0.47364,                0.20122,                 2.1319,                 1.0265,                  1.165,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.1773,                 1.0794,                  1.153,                0.67558,                0.38003,                0.47273,                0.19819,                 2.1531,                 1.0301,                 1.1684,              0.0014753,              0.0014753,              0.0014753
                     55,                 2.1565,                 1.0656,                 1.1513,                0.68671,                0.38017,                0.47549,                 0.2042,                 2.1162,                 1.0158,                 1.1603,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.1634,                 1.0724,                 1.1476,                0.68416,                0.38385,                0.47983,                0.20675,                 2.1116,                 1.0159,                 1.1586,              0.0014555,              0.0014555,              0.0014555
                     57,                 2.1491,                  1.063,                 1.1441,                0.68352,                0.38436,                0.47898,                0.20632,                 2.1129,                 1.0125,                  1.157,              0.0014456,              0.0014456,              0.0014456
                     58,                 2.1488,                 1.0574,                 1.1412,                0.68585,                0.38573,                0.47964,                0.20644,                 2.1138,                  1.015,                 1.1522,              0.0014357,              0.0014357,              0.0014357
                     59,                 2.1299,                 1.0455,                 1.1437,                0.68313,                0.38642,                0.48112,                0.20374,                 2.1378,                 1.0165,                 1.1617,              0.0014258,              0.0014258,              0.0014258
                     60,                 2.1508,                 1.0575,                 1.1441,                0.68812,                0.38747,                0.48176,                0.20754,                 2.1083,                 1.0042,                 1.1552,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.1477,                 1.0541,                 1.1377,                0.68554,                0.39146,                0.48524,                0.20922,                 2.1024,                      1,                 1.1536,               0.001406,               0.001406,               0.001406
                     62,                 2.1338,                 1.0449,                 1.1359,                 0.6931,                0.38808,                0.48375,                0.20907,                 2.0976,                0.99691,                 1.1527,              0.0013961,              0.0013961,              0.0013961
                     63,                 2.1383,                 1.0482,                 1.1368,                  0.689,                0.39025,                 0.4846,                0.20915,                  2.097,                0.99875,                 1.1515,              0.0013862,              0.0013862,              0.0013862
                     64,                 2.1186,                 1.0386,                 1.1354,                0.68965,                0.39099,                0.48894,                0.21152,                 2.0979,                0.98699,                 1.1493,              0.0013763,              0.0013763,              0.0013763
