                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.8615,                0.87913,                 1.0488,                0.74143,                0.42292,                0.53176,                0.26013,                 1.8692,                0.84799,                 1.0723,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.8724,                0.88928,                 1.0535,                0.74303,                 0.4229,                0.53194,                0.26024,                 1.8701,                0.84812,                 1.0725,              0.0005348,              0.0005348,              0.0005348
                    150,                 1.8562,                 0.8795,                 1.0504,                0.74283,                0.42433,                0.53276,                0.26116,                 1.8653,                0.84583,                 1.0715,              0.0005249,              0.0005249,              0.0005249
                    151,                 1.8572,                 0.8792,                 1.0477,                 0.7452,                0.42367,                0.53309,                 0.2619,                 1.8633,                0.84435,                  1.071,               0.000515,               0.000515,               0.000515
                    152,                 1.8594,                0.88016,                 1.0459,                0.74543,                0.42365,                0.53335,                 0.2622,                 1.8617,                0.84345,                 1.0703,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.8392,                0.87013,                 1.0473,                0.74595,                0.42412,                0.53352,                0.26259,                 1.8613,                 0.8435,                 1.0699,              0.0004952,              0.0004952,              0.0004952
                    154,                 1.8585,                0.87809,                 1.0474,                 0.7472,                0.42414,                0.53364,                0.26276,                 1.8576,                0.84289,                 1.0688,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.8537,                0.87843,                 1.0463,                0.74834,                0.42511,                0.53468,                0.26349,                 1.8542,                0.84108,                  1.068,              0.0004754,              0.0004754,              0.0004754
                    156,                 1.8418,                0.87401,                 1.0449,                0.74683,                0.42489,                0.53462,                0.26412,                 1.8508,                0.83919,                 1.0668,              0.0004655,              0.0004655,              0.0004655
                    157,                  1.851,                0.87397,                 1.0422,                0.74604,                0.42566,                0.53501,                0.26408,                 1.8528,                0.83796,                 1.0671,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.8543,                0.87933,                 1.0428,                0.74815,                0.42447,                0.53482,                0.26397,                 1.8536,                0.83876,                 1.0669,              0.0004457,              0.0004457,              0.0004457
                    159,                 1.8357,                 0.8667,                 1.0441,                0.74911,                 0.4255,                0.53617,                0.26482,                 1.8496,                0.83733,                  1.066,              0.0004358,              0.0004358,              0.0004358
                    160,                 1.8439,                0.87278,                 1.0455,                0.74895,                0.42573,                0.53592,                0.26518,                 1.8467,                0.83625,                 1.0652,              0.0004259,              0.0004259,              0.0004259
                    161,                 1.8219,                0.86027,                 1.0412,                0.74907,                0.42587,                0.53564,                0.26509,                 1.8477,                0.83597,                 1.0653,               0.000416,               0.000416,               0.000416
                    162,                 1.8369,                0.86854,                 1.0405,                0.74683,                0.42561,                0.53543,                0.26494,                 1.8475,                0.83618,                 1.0649,              0.0004061,              0.0004061,              0.0004061
                    163,                  1.833,                0.86934,                 1.0402,                0.74842,                0.42636,                0.53654,                0.26553,                 1.8464,                0.83543,                 1.0647,              0.0003962,              0.0003962,              0.0003962
                    164,                  1.835,                0.86428,                  1.038,                0.74822,                0.42709,                0.53672,                0.26568,                 1.8432,                0.83415,                 1.0644,              0.0003863,              0.0003863,              0.0003863
                    165,                 1.8343,                0.86817,                 1.0409,                0.74973,                0.42732,                0.53764,                0.26645,                 1.8411,                0.83324,                 1.0637,              0.0003764,              0.0003764,              0.0003764
                    166,                   1.83,                 0.8639,                 1.0368,                0.75154,                0.42686,                0.53745,                 0.2667,                 1.8404,                0.83275,                 1.0633,              0.0003665,              0.0003665,              0.0003665
                    167,                 1.8266,                0.86291,                 1.0379,                0.75026,                0.42734,                0.53742,                0.26727,                 1.8372,                0.83143,                 1.0624,              0.0003566,              0.0003566,              0.0003566
                    168,                 1.8345,                0.86975,                 1.0412,                0.75068,                0.42729,                0.53789,                0.26763,                 1.8348,                0.83047,                 1.0617,              0.0003467,              0.0003467,              0.0003467
                    169,                  1.825,                0.86398,                 1.0392,                 0.7483,                0.42813,                0.53847,                0.26788,                 1.8317,                0.82954,                 1.0607,              0.0003368,              0.0003368,              0.0003368
                    170,                 1.8262,                0.86336,                 1.0386,                 0.7496,                0.42867,                0.53895,                0.26827,                 1.8317,                0.82824,                 1.0604,              0.0003269,              0.0003269,              0.0003269
                    171,                 1.8255,                0.86154,                 1.0354,                0.75106,                0.42866,                0.53934,                0.26847,                 1.8305,                0.82784,                   1.06,               0.000317,               0.000317,               0.000317
                    172,                 1.8172,                0.86032,                 1.0329,                0.75067,                0.42852,                0.53905,                 0.2687,                 1.8293,                0.82781,                 1.0599,              0.0003071,              0.0003071,              0.0003071
                    173,                 1.8136,                0.85532,                 1.0326,                0.75012,                0.42782,                0.53848,                 0.2684,                 1.8293,                0.82728,                 1.0599,              0.0002972,              0.0002972,              0.0002972
                    174,                 1.7975,                0.84657,                 1.0305,                0.75104,                0.42799,                 0.5389,                0.26849,                 1.8299,                0.82711,                 1.0601,              0.0002873,              0.0002873,              0.0002873
                    175,                 1.8107,                 0.8544,                 1.0344,                0.75183,                0.42869,                0.53959,                0.26883,                 1.8292,                0.82669,                 1.0598,              0.0002774,              0.0002774,              0.0002774
                    176,                 1.8072,                0.85525,                 1.0332,                0.75154,                0.42892,                0.53977,                0.26899,                 1.8281,                0.82564,                 1.0595,              0.0002675,              0.0002675,              0.0002675
                    177,                 1.7996,                0.85061,                 1.0332,                0.75126,                0.42941,                0.53999,                0.26925,                 1.8283,                0.82601,                 1.0593,              0.0002576,              0.0002576,              0.0002576
                    178,                 1.7987,                 0.8513,                 1.0337,                0.74914,                0.42995,                0.54007,                 0.2696,                  1.826,                0.82484,                 1.0587,              0.0002477,              0.0002477,              0.0002477
                    179,                 1.8086,                0.85359,                 1.0318,                0.74761,                0.43076,                0.54069,                0.26991,                 1.8237,                0.82384,                  1.058,              0.0002378,              0.0002378,              0.0002378
                    180,                 1.8078,                0.85281,                 1.0305,                0.75196,                0.42962,                0.54052,                0.27005,                 1.8244,                0.82382,                 1.0582,              0.0002279,              0.0002279,              0.0002279
                    181,                 1.8084,                0.85111,                 1.0281,                0.75031,                0.43002,                0.54096,                0.27041,                  1.822,                0.82278,                 1.0577,               0.000218,               0.000218,               0.000218
                    182,                  1.802,                0.85115,                  1.029,                0.75104,                0.43027,                0.54109,                0.27052,                 1.8224,                0.82272,                 1.0575,              0.0002081,              0.0002081,              0.0002081
                    183,                 1.7977,                0.85129,                  1.031,                0.75143,                0.43011,                0.54117,                0.27039,                 1.8224,                0.82239,                 1.0576,              0.0001982,              0.0001982,              0.0001982
                    184,                 1.7963,                0.85029,                 1.0314,                0.75131,                0.43047,                0.54114,                0.27077,                 1.8204,                 0.8216,                 1.0572,              0.0001883,              0.0001883,              0.0001883
                    185,                 1.7972,                0.84889,                 1.0279,                0.75127,                0.43041,                0.54114,                0.27101,                 1.8204,                0.82145,                 1.0569,              0.0001784,              0.0001784,              0.0001784
                    186,                 1.7788,                0.84024,                 1.0278,                0.75174,                0.43061,                0.54148,                0.27108,                 1.8195,                0.82122,                 1.0566,              0.0001685,              0.0001685,              0.0001685
                    187,                 1.7893,                0.84508,                 1.0298,                0.75201,                0.43101,                0.54194,                0.27111,                 1.8191,                0.82102,                 1.0565,              0.0001586,              0.0001586,              0.0001586
                    188,                 1.8012,                0.85118,                 1.0279,                0.75118,                0.43092,                0.54171,                 0.2714,                 1.8177,                 0.8207,                 1.0562,              0.0001487,              0.0001487,              0.0001487
                    189,                 1.7986,                0.84926,                 1.0291,                0.75229,                0.43009,                0.54139,                0.27146,                 1.8164,                0.82024,                  1.056,              0.0001388,              0.0001388,              0.0001388
                    190,                 1.7776,                0.83359,                 1.0421,                0.75191,                0.42948,                0.54047,                0.27068,                 1.8193,                0.82167,                 1.0571,              0.0001289,              0.0001289,              0.0001289
                    191,                 1.7562,                0.82724,                 1.0385,                0.74907,                0.42944,                0.53979,                0.27019,                 1.8215,                0.82334,                 1.0576,               0.000119,               0.000119,               0.000119
                    192,                 1.7551,                0.82551,                 1.0369,                0.74848,                0.42902,                0.53966,                0.27012,                 1.8222,                0.82374,                 1.0579,              0.0001091,              0.0001091,              0.0001091
                    193,                 1.7462,                 0.8201,                 1.0366,                0.74825,                0.42929,                0.53983,                0.27036,                 1.8218,                0.82348,                 1.0577,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                 1.7448,                 0.8211,                 1.0341,                0.74833,                0.42944,                0.54025,                0.27062,                 1.8204,                0.82308,                 1.0573,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                 1.7353,                 0.8163,                 1.0307,                0.74864,                0.42963,                0.54014,                0.27118,                 1.8197,                0.82281,                 1.0572,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                 1.7371,                0.81505,                 1.0337,                0.74849,                0.43016,                0.54045,                0.27142,                  1.818,                0.82225,                 1.0567,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 1.7362,                 0.8175,                 1.0383,                0.74791,                0.43013,                 0.5403,                0.27122,                 1.8175,                0.82188,                 1.0566,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                 1.7331,                0.81475,                 1.0328,                0.74771,                0.43048,                0.54106,                0.27146,                 1.8172,                0.82176,                 1.0564,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                 1.7373,                0.81513,                 1.0327,                0.74982,                 0.4298,                0.54096,                 0.2716,                  1.817,                0.82128,                 1.0563,               3.98e-05,               3.98e-05,               3.98e-05
