Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,1,8,40.6,19.6,21.6,22.6,25.3,28.5,23.4,8.6,37
Changi,2021,1,9,23.8,9.8,11.8,13.2,25.6,28.7,23.9,7.9,37
Changi,2021,1,10,204,22,36.8,54.6,23.9,24.6,23.3,8.5,33.3
Changi,2021,1,11,2.4,0.4,0.8,1.2,25.8,28.6,24.3,11.5,37
Changi,2021,1,12,13,9,9,9,25.7,28.9,23.9,14.1,-
Changi,2021,1,13,2,1,1,1.2,25.4,27.7,23.6,10.2,42.6
Changi,2021,1,14,0,0.2,0.2,0.2,25.7,29,23.3,8.6,31.5
Changi,2021,1,15,0,0,0,0,26.8,30.5,24.4,11.5,29.6
Changi,2021,1,16,0,0,0,0,27,30,24.9,12.6,31.5
Changi,2021,1,17,0,0,0,0,27.1,30.5,25.2,15.4,38.9
Changi,2021,1,18,0,0,0,0,26.5,28.9,25.2,15.9,48.2
Changi,2021,1,19,0,0,0,0,26.4,29.7,24,12,35.2
Changi,2021,1,20,0,0,0,0,26.4,29.6,24,9.4,31.5
Changi,2021,1,21,0.8,0.4,0.6,0.8,26.5,30.7,24.1,10,31.5
Changi,2021,1,22,3.2,3,3.2,3.2,26.3,30.8,24.1,9.3,27.8
Changi,2021,1,23,28.4,16.4,27.2,28.4,26.1,30.6,23,10.1,38.9
Changi,2021,1,24,0,0,0,0,26.7,31.2,23.5,11.4,31.5
Changi,2021,1,25,0,0,0,0,27.4,31.6,25.1,11.5,31.5
Changi,2021,1,26,0,0,0,0,27.3,31.5,24.6,11.2,31.5
Changi,2021,1,27,0,0,0,0,26.8,30.2,24.4,9.6,31.5
Changi,2021,1,28,10.8,10.6,10.8,10.8,26.4,30.4,23.1,10.7,33.3
Changi,2021,1,29,0,0,0,0,26.9,30.6,24.5,12.3,35.2
Changi,2021,1,30,0,0,0,0,27,30.5,24.7,12.9,40.7
Changi,2021,1,31,1,0.4,0.6,0.6,26.4,30.3,24.1,11.3,35.2
